250	-1
750	1
850	-1
400	1
900	1
700	-1
550	1
100	-1
151	1
501	-1
800	1
301	-1
1	1
601	1
551	1
751	1
851	1
352	-1
452	-1
901	1
52	1
701	-1
653	1
202	1
502	-1
103	-1
302	1
801	1
602	-1
453	-1
553	-1
53	-1
956	1
255	-1
703	1
4	1
903	1
405	-1
854	1
303	1
802	-1
204	-1
156	-1
554	-1
656	-1
105	-1
356	-1
604	1
957	-1
505	-1
55	1
756	-1
304	-1
855	-1
705	1
803	1
6	1
205	1
157	-1
457	-1
407	-1
706	-1
657	1
258	-1
106	1
906	1
506	1
757	1
305	1
359	1
7	-1
857	-1
259	1
805	1
707	-1
559	1
608	1
159	1
459	1
59	1
759	1
907	-1
507	1
306	-1
108	-1
208	1
360	-1
963	-1
260	-1
807	-1
708	-1
411	-1
560	1
461	1
859	-1
661	1
760	1
60	-1
908	1
610	-1
307	-1
109	-1
11	1
261	1
61	-1
210	1
362	-1
462	-1
860	1
412	-1
110	1
662	-1
163	1
809	1
761	-1
511	1
611	1
12	1
910	-1
712	-1
211	-1
309	-1
363	-1
463	1
263	-1
413	1
111	-1
968	-1
565	-1
862	-1
810	1
64	-1
612	-1
911	1
665	1
310	-1
166	1
14	1
364	1
264	-1
764	1
714	1
465	-1
811	1
415	1
214	-1
970	1
613	-1
567	1
516	1
311	1
167	-1
865	1
365	1
67	-1
115	1
16	1
715	1
914	-1
467	-1
568	1
614	1
813	-1
767	-1
267	1
312	1
517	1
216	-1
972	1
168	-1
866	1
366	-1
814	1
68	-1
418	1
716	1
468	1
672	1
615	-1
768	1
916	1
19	-1
169	1
973	-1
269	-1
419	1
315	-1
572	1
717	1
469	1
219	1
673	1
616	-1
121	1
573	-1
769	-1
869	1
70	-1
369	-1
918	1
316	-1
171	1
818	-1
718	1
470	1
421	1
22	-1
122	-1
617	1
976	1
272	1
371	1
770	1
575	1
317	1
525	1
871	1
676	1
72	1
222	-1
819	1
422	1
23	-1
173	-1
921	1
977	1
124	1
273	-1
771	-1
872	-1
526	-1
677	-1
722	1
73	1
319	1
772	-1
223	-1
578	-1
174	1
475	-1
821	1
375	1
978	1
125	-1
274	1
224	1
26	1
623	1
874	-1
74	-1
723	-1
320	-1
773	1
426	-1
579	1
822	1
376	1
680	1
477	1
275	1
927	-1
127	1
27	-1
624	-1
724	-1
876	-1
321	-1
178	-1
981	-1
76	1
427	1
775	1
377	1
533	1
128	-1
824	1
28	1
582	1
479	-1
725	-1
277	-1
877	1
322	1
929	-1
179	-1
683	1
776	1
428	-1
627	1
78	-1
231	-1
534	1
825	1
583	-1
278	1
30	-1
878	1
481	1
131	-1
985	-1
930	-1
381	1
324	-1
429	1
181	1
728	1
79	1
780	-1
685	-1
535	1
826	1
182	-1
279	-1
879	1
31	1
80	1
587	1
132	-1
482	1
931	-1
986	-1
234	-1
631	1
686	1
729	1
183	-1
327	1
280	1
782	1
384	1
827	-1
81	1
432	1
537	-1
328	1
32	-1
932	1
591	-1
483	1
987	1
235	1
134	-1
633	1
883	-1
592	-1
783	1
484	-1
385	1
185	1
731	-1
828	1
282	-1
82	1
538	1
34	-1
135	1
435	-1
331	-1
634	1
692	1
935	-1
594	-1
990	-1
83	1
829	1
785	1
886	1
136	1
733	-1
539	-1
436	1
487	-1
388	-1
239	1
693	1
936	1
38	-1
637	1
285	-1
84	-1
830	-1
137	-1
190	1
734	-1
992	-1
787	-1
335	1
541	-1
694	1
39	-1
438	1
889	-1
597	1
638	1
390	-1
286	1
241	1
85	1
138	1
938	-1
831	-1
490	1
993	-1
336	1
788	1
192	-1
695	1
542	1
40	1
439	-1
639	1
287	-1
738	-1
86	-1
139	1
392	1
491	-1
832	1
892	1
243	1
994	1
337	-1
193	-1
790	1
440	1
640	-1
544	-1
288	1
942	1
42	1
140	1
393	1
893	1
697	1
244	1
194	1
834	1
441	-1
641	-1
339	-1
792	1
289	-1
742	1
895	-1
698	-1
44	-1
944	1
245	-1
93	1
642	-1
793	1
396	1
341	-1
443	-1
144	1
998	-1
699	1
744	1
291	1
197	-1
548	1
794	1
342	-1
95	1
46	-1
897	-1
498	-1
397	-1
644	1
999	-1
549	-1
745	1
247	1
292	1
795	1
146	-1
947	-1
343	-1
199	1
96	1
499	-1
47	-1
645	-1
843	1
248	1
746	-1
399	1
948	1
147	-1
294	1
646	-1
249	-1
49	-1
845	-1
798	-1
747	-1
148	1
295	-1
99	1
347	-1
846	-1
149	-1
648	1
296	1
847	-1
298	-1
